# r/G(r)/dn[At1,At2]:      G(r)[ H, H]            dn(r)
          0.009     -0.0102459753      0.0000000000
          0.028     -0.0307379259      0.0000000000
          0.047     -0.0512298765      0.0000000000
          0.065     -0.0717218271      0.0000000000
          0.084     -0.0922137777      0.0000000000
          0.102     -0.1127057283      0.0000000000
          0.121     -0.1331976789      0.0000000000
          0.140     -0.1536896295      0.0000000000
          0.158     -0.1741815801      0.0000000000
          0.177     -0.1946735307      0.0000000000
          0.196     -0.2151654813      0.0000000000
          0.214     -0.2356574319      0.0000000000
          0.233     -0.2561493824      0.0000000000
          0.251     -0.2766413330      0.0000000000
          0.270     -0.2971332836      0.0000000000
          0.289     -0.3176252342      0.0000000000
          0.307     -0.3381171848      0.0000000000
          0.326     -0.3586091354      0.0000000000
          0.345     -0.3791010860      0.0000000000
          0.363     -0.3995930366      0.0000000000
          0.382     -0.4200849872      0.0000000000
          0.400     -0.4405769378      0.0000000000
          0.419     -0.4610688884      0.0000000000
          0.438     -0.4815608390      0.0000000000
          0.456     -0.5020527896      0.0000000000
          0.475     -0.5225447402      0.0000000000
          0.494     -0.5430366908      0.0000000000
          0.512     -0.5635286414      0.0000000000
          0.531     -0.5840205920      0.0000000000
          0.549     -0.6045125426      0.0000000000
          0.568     -0.6250044932      0.0000000000
          0.587     -0.6454964438      0.0000000000
          0.605     -0.6659883944      0.0000000000
          0.624     -0.6864803450      0.0000000000
          0.643     -0.7069722956      0.0000000000
          0.661     -0.7274642462      0.0000000000
          0.680     -0.7479561967      0.0000000000
          0.698     -0.7684481473      0.0000000000
          0.717     -0.7889400979      0.0000000000
          0.736     -0.8094320485      0.0000000000
          0.754     -0.8299239991      0.0000000000
          0.773     -0.8504159497      0.0000000000
          0.792     -0.8709079003      0.0000000000
          0.810     -0.8913998509      0.0000000000
          0.829     -0.9118918015      0.0000000000
          0.847     -0.9323837521      0.0000000000
          0.866     -0.9528757027      0.0000000000
          0.885     -0.9733676533      0.0000000000
          0.903     -0.9938596039      0.0000000000
          0.922     -1.0143515545      0.0000000000
          0.941     -1.0348435051      0.0000000000
          0.959     -1.0553354557      0.0000000000
          0.978     -1.0758274063      0.0000000000
          0.996     -1.0963193569      0.0000000000
          1.015     -1.1168113075      0.0000000000
          1.034     -1.1373032581      0.0000000000
          1.052     -1.1577952087      0.0000000000
          1.071     -1.1782871593      0.0000000000
          1.090     -1.1987791099      0.0000000000
          1.108     -1.2192710605      0.0000000000
          1.127     -1.2397630110      0.0000000000
          1.145     -1.2602549616      0.0000000000
          1.164     -1.2807469122      0.0000000000
          1.183     -1.3012388628      0.0000000000
          1.201     -1.3217308134      0.0000000000
          1.220     -1.3422227640      0.0000000000
          1.239     -1.3627147146      0.0000000000
          1.257     -1.3832066652      0.0000000000
          1.276     -1.4036986158      0.0000000000
          1.294     -1.4241905664      0.0000000000
          1.313     -1.4446825170      0.0000000000
          1.332     -1.4651744676      0.0000000000
          1.350     -1.4630429990      0.0001081081
          1.369     -1.5061583688      0.0001081081
          1.388     -1.5046342218      0.0002162162
          1.406     -1.5471422700      0.0002162162
          1.425     -1.5033126306      0.0005405405
          1.443     -1.4188150855      0.0014054054
          1.462     -1.3369923595      0.0028108108
          1.481     -1.4021638459      0.0040000000
          1.499     -1.3032237904      0.0058378378
          1.518     -1.1065885380      0.0088648649
          1.537     -1.1935544644      0.0115675676
          1.555     -0.9449944314      0.0157837838
          1.574     -0.8774987095      0.0205405405
          1.592     -0.9079795669      0.0252972973
          1.611     -0.4072958599      0.0330810811
          1.630     -0.4996260518      0.0405405405
          1.648      0.0768698036      0.0515675676
          1.667      0.4384357582      0.0649729730
          1.686      1.2446545265      0.0834594595
          1.704      1.8893973447      0.1061621622
          1.723      3.2467680628      0.1375135135
