# r/G(r)/dn[At1,At2]:      G(r)[ N, C]            dn(r)
          0.009     -0.0102459753      0.0000000000
          0.028     -0.0307379259      0.0000000000
          0.047     -0.0512298765      0.0000000000
          0.065     -0.0717218271      0.0000000000
          0.084     -0.0922137777      0.0000000000
          0.102     -0.1127057283      0.0000000000
          0.121     -0.1331976789      0.0000000000
          0.140     -0.1536896295      0.0000000000
          0.158     -0.1741815801      0.0000000000
          0.177     -0.1946735307      0.0000000000
          0.196     -0.2151654813      0.0000000000
          0.214     -0.2356574319      0.0000000000
          0.233     -0.2561493824      0.0000000000
          0.251     -0.2766413330      0.0000000000
          0.270     -0.2971332836      0.0000000000
          0.289     -0.3176252342      0.0000000000
          0.307     -0.3381171848      0.0000000000
          0.326     -0.3586091354      0.0000000000
          0.345     -0.3791010860      0.0000000000
          0.363     -0.3995930366      0.0000000000
          0.382     -0.4200849872      0.0000000000
          0.400     -0.4405769378      0.0000000000
          0.419     -0.4610688884      0.0000000000
          0.438     -0.4815608390      0.0000000000
          0.456     -0.5020527896      0.0000000000
          0.475     -0.5225447402      0.0000000000
          0.494     -0.5430366908      0.0000000000
          0.512     -0.5635286414      0.0000000000
          0.531     -0.5840205920      0.0000000000
          0.549     -0.6045125426      0.0000000000
          0.568     -0.6250044932      0.0000000000
          0.587     -0.6454964438      0.0000000000
          0.605     -0.6659883944      0.0000000000
          0.624     -0.6864803450      0.0000000000
          0.643     -0.7069722956      0.0000000000
          0.661     -0.7274642462      0.0000000000
          0.680     -0.7479561967      0.0000000000
          0.698     -0.7684481473      0.0000000000
          0.717     -0.7889400979      0.0000000000
          0.736     -0.8094320485      0.0000000000
          0.754     -0.8299239991      0.0000000000
          0.773     -0.8504159497      0.0000000000
          0.792     -0.8709079003      0.0000000000
          0.810     -0.8913998509      0.0000000000
          0.829     -0.9118918015      0.0000000000
          0.847     -0.9323837521      0.0000000000
          0.866     -0.9528757027      0.0000000000
          0.885     -0.9733676533      0.0000000000
          0.903     -0.9938596039      0.0000000000
          0.922     -1.0143515545      0.0000000000
          0.941     -1.0348435051      0.0000000000
          0.959     -1.0553354557      0.0000000000
          0.978     -1.0758274063      0.0000000000
          0.996     -1.0963193569      0.0000000000
          1.015     -1.1168113075      0.0000000000
          1.034     -1.1373032581      0.0000000000
          1.052     -1.1577952087      0.0000000000
          1.071     -1.1782871593      0.0000000000
          1.090     -1.1987791099      0.0000000000
          1.108     -1.2192710605      0.0000000000
          1.127     -1.2397630110      0.0000000000
          1.145     -1.2602549616      0.0000000000
          1.164     -1.2807469122      0.0000000000
          1.183     -1.3012388628      0.0000000000
          1.201     -1.3217308134      0.0000000000
          1.220     -1.3422227640      0.0000000000
          1.239     -1.3627147146      0.0000000000
          1.257     -1.3832066652      0.0000000000
          1.276     -1.4036986158      0.0000000000
          1.294     -1.4241905664      0.0000000000
          1.313     -1.4446825170      0.0000000000
          1.332     -1.4651744676      0.0000000000
          1.350     -1.4856664182      0.0000000000
          1.369     -1.4473287966      0.0003750000
          1.388     -0.8237221892      0.0049166667
          1.406     -0.1471791367      0.0140833333
          1.425      0.6995499545      0.0291250000
          1.443      1.3627191399      0.0489583333
          1.462      0.5457224114      0.0636250000
          1.481     -0.1847606736      0.0735833333
          1.499     -0.6827483125      0.0803333333
          1.518     -0.9803784143      0.0852083333
          1.537     -1.0732894189      0.0896250000
          1.555     -1.0666511013      0.0942916667
          1.574     -1.2425979359      0.0978750000
          1.592     -1.4823391428      0.0998750000
          1.611     -1.5448290304      0.1015833333
          1.630     -1.6997023321      0.1022916667
          1.648     -1.7321064743      0.1029166667
          1.667     -1.8018210474      0.1031666667
          1.686     -1.8279776599      0.1033750000
          1.704     -1.8382581905      0.1036666667
          1.723     -1.8643414795      0.1039166667
