# r/g(r)/dn[At1,At2]:      g(r)[ N, H]            dn(r)
          0.009      0.0000000000      0.0000000000
          0.028      0.0000000000      0.0000000000
          0.047      0.0000000000      0.0000000000
          0.065      0.0000000000      0.0000000000
          0.084      0.0000000000      0.0000000000
          0.102      0.0000000000      0.0000000000
          0.121      0.0000000000      0.0000000000
          0.140      0.0000000000      0.0000000000
          0.158      0.0000000000      0.0000000000
          0.177      0.0000000000      0.0000000000
          0.196      0.0000000000      0.0000000000
          0.214      0.0000000000      0.0000000000
          0.233      0.0000000000      0.0000000000
          0.251      0.0000000000      0.0000000000
          0.270      0.0000000000      0.0000000000
          0.289      0.0000000000      0.0000000000
          0.307      0.0000000000      0.0000000000
          0.326      0.0000000000      0.0000000000
          0.345      0.0000000000      0.0000000000
          0.363      0.0000000000      0.0000000000
          0.382      0.0000000000      0.0000000000
          0.400      0.0000000000      0.0000000000
          0.419      0.0000000000      0.0000000000
          0.438      0.0000000000      0.0000000000
          0.456      0.0000000000      0.0000000000
          0.475      0.0000000000      0.0000000000
          0.494      0.0000000000      0.0000000000
          0.512      0.0000000000      0.0000000000
          0.531      0.0000000000      0.0000000000
          0.549      0.0000000000      0.0000000000
          0.568      0.0000000000      0.0000000000
          0.587      0.0000000000      0.0000000000
          0.605      0.0000000000      0.0000000000
          0.624      0.0000000000      0.0000000000
          0.643      0.0000000000      0.0000000000
          0.661      0.0000000000      0.0000000000
          0.680      0.0000000000      0.0000000000
          0.698      0.0000000000      0.0000000000
          0.717      0.0000000000      0.0000000000
          0.736      0.0000000000      0.0000000000
          0.754      0.0000000000      0.0000000000
          0.773      0.0000000000      0.0000000000
          0.792      0.0000000000      0.0000000000
          0.810      0.0000000000      0.0000000000
          0.829      0.0000000000      0.0000000000
          0.847      0.0000000000      0.0000000000
          0.866      0.0000000000      0.0000000000
          0.885      0.0000000000      0.0000000000
          0.903      0.0000000000      0.0000000000
          0.922      0.0000000000      0.0000000000
          0.941      0.0120963231      0.0000416667
          0.959      0.1512047991      0.0005833333
          0.978      1.4549964763      0.0060000000
          0.996      5.0116769768      0.0253750000
          1.015     13.2420530154      0.0785000000
          1.034     16.5047829833      0.1471666667
          1.052     15.2589350260      0.2129583333
          1.071      8.4534091304      0.2507083333
          1.090      2.9656774646      0.2644166667
          1.108      0.9410873329      0.2689166667
          1.127      0.3455521077      0.2706250000
          1.145      0.0326249998      0.2707916667
          1.164      0.0078973435      0.2708333333
          1.183      0.0000000000      0.2708333333
          1.201      0.0000000000      0.2708333333
          1.220      0.0000000000      0.2708333333
          1.239      0.0000000000      0.2708333333
          1.257      0.0000000000      0.2708333333
          1.276      0.0000000000      0.2708333333
          1.294      0.0000000000      0.2708333333
          1.313      0.0000000000      0.2708333333
          1.332      0.0000000000      0.2708333333
          1.350      0.0000000000      0.2708333333
